
13 Aug 2021 - 10:36:41;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 53ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 863 Bytes;Download: 1.11 KB
13 Aug 2021 - 10:36:42;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 155ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 585 Bytes;Download: 439 Bytes
13 Aug 2021 - 10:36:43;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 50ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 585 Bytes;Download: 439 Bytes
13 Aug 2021 - 10:36:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 283ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 181 Bytes;Download: 314 Bytes
13 Aug 2021 - 10:36:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 79ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 53% used;Upload: 891 Bytes;Download: 872 Bytes
13 Aug 2021 - 11:06:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 58% used;Upload: ;Download: 
13 Aug 2021 - 11:06:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 58% used;Upload: ;Download: 
13 Aug 2021 - 11:06:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 58% used;Upload: ;Download: 
13 Aug 2021 - 11:06:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 58% used;Upload: ;Download: 
13 Aug 2021 - 11:06:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 30ms;CPU: Disabled;GPU: Disabled;CPU: ;RAM: 58% used;Upload: ;Download: 
13 Aug 2021 - 11:06:46;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 20ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: ;Download: 
13 Aug 2021 - 11:06:47;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 21ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 796 Bytes;Download: 585 Bytes
13 Aug 2021 - 11:06:48;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 316ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 592 Bytes;Download: 443 Bytes
13 Aug 2021 - 11:06:49;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 22ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 58% used;Upload: 592 Bytes;Download: 443 Bytes
